sample_index,time_monotonic_ns,elapsed_s,end_reason,observed_frame_id,observed_timestamp_ns,observed_valid,observed_reason,observed_depth_m,observed_slant_range_m,observed_dx_norm,observed_dy_norm,observed_vx_m_s,observed_vy_m_s,control_frame_id,control_estimate_age_s,control_depth_m,control_slant_range_m,control_dx_norm,control_dy_norm,control_dx_deadbanded,control_dy_deadbanded,control_vx_m_s,control_vy_m_s,phase,result_valid,result_reason,exit_requested,completion_latched,pitch_command_deg,yaw_rate_dps,drone_vertical_speed_m_s,drone_vertical_speed_age_s,drone_vertical_speed_valid,throttle_visual_correction_rc,throttle_damping_correction_rc,throttle_correction_rc,ch1_roll,ch2_pitch,ch3_throttle,ch4_yaw,ch5_arm,ch6_angle,ch7_aux3,ch8_aux4,trk_pitch_deg,trk_pitch_rate_deg_s,trk_yaw_kp,trk_yaw_max_dps,trk_throttle_kp,trk_vertical_speed_kd,trk_throttle_max_rc,trk_deadband,trk_timeout_s,trk_lock_frames,trk_commit_depth_m,trk_commit_s,bf_angle_limit_deg,hover_baseline_rc,bf_yaw_rate_dps
10,332492566867828,0.20002137799747288,commit_complete,227751,11680400847007,True,,14.821052631578947,16.99369803348246,0.0046875,-0.7479166666666667,4.360786115840425,-2.4461284618542383,227751,0.008113274991046637,14.821052631578947,16.99369803348246,0.0046875,-0.7479166666666667,0.0,-0.7179166666666666,4.360786115840425,-2.4461284618542383,tracking,True,,False,False,-1.0001068899873644,0.0,0.0,0.009133475017733872,True,-71.79166666666667,-0.0,-71.79166666666667,1500,1508,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
11,332492586877963,0.2200315129593946,commit_complete,227751,11680400847007,True,,14.821052631578947,16.99369803348246,0.0046875,-0.7479166666666667,4.360786115840425,-2.4461284618542383,227751,0.02812340995296836,14.821052631578947,16.99369803348246,0.0046875,-0.7479166666666667,0.0,-0.7179166666666666,4.360786115840425,-2.4461284618542383,tracking,True,,False,False,-1.100157564796973,0.0,0.0,0.029143609979655594,True,-71.79166666666667,-0.0,-71.79166666666667,1500,1509,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
12,332492606837782,0.23999133199686185,commit_complete,227752,11680433809489,True,,14.821052631578947,16.98238070158683,0.0046875,-0.7458333333333333,4.363692262531644,-2.4409403593536383,227752,0.014675013022497296,14.821052631578947,16.98238070158683,0.0046875,-0.7458333333333333,0.0,-0.7158333333333333,4.363692262531644,-2.4409403593536383,tracking,True,,False,False,-1.1999566599843092,0.0,0.0,0.049103429017122835,True,-71.58333333333333,-0.0,-71.58333333333333,1500,1510,1589,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
13,332492626852048,0.2600055979564786,commit_complete,227753,11680467366242,True,,14.821052631578947,16.98238070158683,0.0046875,-0.7458333333333333,4.363692262531644,-2.4409403593536383,227753,0.001174087985418737,14.821052631578947,16.98238070158683,0.0046875,-0.7458333333333333,0.0,-0.7158333333333333,4.363692262531644,-2.4409403593536383,tracking,True,,False,False,-1.300027989782393,0.0,0.0,0.06911769497673959,True,-71.58333333333333,-0.0,-71.58333333333333,1500,1511,1589,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
14,332492646838613,0.27999216300668195,commit_complete,227753,11680467366242,True,,14.821052631578947,16.98238070158683,0.0046875,-0.7458333333333333,4.363692262531644,-2.4409403593536383,227753,0.02116065303562209,14.821052631578947,16.98238070158683,0.0046875,-0.7458333333333333,0.0,-0.7158333333333333,4.363692262531644,-2.4409403593536383,tracking,True,,False,False,-1.3999608150334097,0.0,0.0,0.08910426002694294,True,-71.58333333333333,-0.0,-71.58333333333333,1500,1512,1589,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
15,332492666843345,0.2999968949588947,commit_complete,227754,11680500294686,True,,14.821052631578947,16.971087422738986,0.0046875,-0.74375,4.3665960964391495,-2.435741885044963,227754,0.00774562795413658,14.821052631578947,16.971087422738986,0.0046875,-0.74375,0.0,-0.71375,4.3665960964391495,-2.435741885044963,tracking,True,,False,False,-1.4999844747944735,0.0,0.0,0.10910899197915569,True,-71.375,-0.0,-71.375,1500,1512,1589,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
16,332492686868275,0.3200218249694444,commit_complete,227754,11680500294686,True,,14.821052631578947,16.971087422738986,0.0046875,-0.74375,4.3665960964391495,-2.435741885044963,227754,0.027770557964686304,14.821052631578947,16.971087422738986,0.0046875,-0.74375,0.0,-0.71375,4.3665960964391495,-2.435741885044963,tracking,True,,False,False,-1.6001091248472221,0.0,0.0,0.1291339219897054,True,-71.375,-0.0,-71.375,1500,1513,1589,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
17,332492706856001,0.3400095509714447,commit_complete,227755,11680534455279,True,,15.087719298245613,17.264966489926806,0.0046875,-0.7416666666666667,4.369497588207827,-2.4305330334406037,227755,0.014270621992181987,15.087719298245613,17.264966489926806,0.0046875,-0.7416666666666667,0.0,-0.7116666666666667,4.369497588207827,-2.4305330334406037,tracking,True,,False,False,-1.7000477548572235,0.0,0.0,0.009187288000248373,True,-71.16666666666667,-0.0,-71.16666666666667,1500,1514,1589,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
18,332492726833931,0.3599874809733592,commit_complete,227756,11680566954571,True,,15.087719298245613,17.25351913602379,0.0046875,-0.7395833333333334,4.372396708384993,-2.425313799182301,227756,0.0008255779976025224,15.087719298245613,17.25351913602379,0.0046875,-0.7395833333333334,0.0,-0.7095833333333333,4.372396708384993,-2.425313799182301,tracking,True,,False,False,-1.799937404866796,0.0,0.0,0.029165218002162874,True,-70.95833333333333,-0.0,-70.95833333333333,1500,1515,1589,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
19,332492746850333,0.3800038829795085,commit_complete,227756,11680566954571,True,,15.087719298245613,17.25351913602379,0.0046875,-0.7395833333333334,4.372396708384993,-2.425313799182301,227756,0.020841980003751814,15.087719298245613,17.25351913602379,0.0046875,-0.7395833333333334,0.0,-0.7095833333333333,4.372396708384993,-2.425313799182301,tracking,True,,False,False,-1.9000194148975424,0.0,0.0,0.049181620008312166,True,-70.95833333333333,-0.0,-70.95833333333333,1500,1516,1589,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
20,332492766859371,0.40001292095985264,commit_complete,227757,11680600281732,True,,15.087719298245613,17.242096414759814,0.0046875,-0.7375,4.375293427420684,-2.4200841770420656,227757,0.007381260977126658,15.087719298245613,17.242096414759814,0.0046875,-0.7375,0.0,-0.7075,4.375293427420684,-2.4200841770420656,tracking,True,,False,False,-2.000064604799263,0.0,0.0,0.06919065798865631,True,-70.75,-0.0,-70.75,1500,1517,1590,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
