time_monotonic_ns,glide_phase,frame_id,control_valid,reason,abort_reason,dx_norm,dy_norm,vx_setpoint_m_s,vx_measured_m_s,vy_setpoint_m_s,vy_measured_m_s,altitude_m,distance_to_target_m,roll_deg,pitch_deg,yaw_deg,throttle_rc
1137552429010433,track,335210,True,,,-0.415625,-0.4125,0.8220337197780445,-0.0,-0.9536079855210777,0.0,4.97,12.307692307692308,0.2,0.1,359.0,1650
1137552449049737,track,335211,True,,,-0.3875,-0.4125,0.8619041529189675,-0.0,-0.9536079855210777,0.0,4.97,12.307692307692308,0.2,0.1,359.0,1650
1137552469037613,track,335212,True,,,-0.359375,-0.4125,0.9002642076719753,-0.0,-0.9536079855210777,0.0,4.98,12.307692307692308,0.2,0.1,359.0,1650
1137552489015338,track,335212,True,,,-0.359375,-0.4125,0.9002642076719753,-0.0,-0.9536079855210777,0.0,4.98,12.307692307692308,0.2,0.1,359.0,1650
1137552508989419,track,335213,True,,,-0.3296875,-0.4125,0.9389379500201395,-0.0,-0.9536079855210777,0.0,4.98,12.307692307692308,0.2,0.1,359.0,1650
1137552529019203,track,335213,True,,,-0.3296875,-0.4125,0.9389379500201395,-0.0,-0.9536079855210777,0.0,4.98,12.307692307692308,0.2,0.1,359.0,1650
1137552548979981,track,335214,True,,,-0.3015625,-0.4125,0.9736688563520762,-0.0,-0.9536079855210777,0.0,4.98,12.307692307692308,0.2,0.1,359.0,1650
1137552568995695,track,335215,True,,,-0.271875,-0.4125,1.0080992541817817,-0.0,-0.9536079855210777,0.0,4.98,12.307692307692308,0.2,0.1,359.0,1650
1137552588986228,track,335215,True,,,-0.271875,-0.4125,1.0080992541817817,-0.0,-0.9536079855210777,0.01,4.99,12.307692307692308,0.2,0.1,359.0,1650
1137552609007468,track,335216,True,,,-0.2453125,-0.4125,1.0367691317490764,-0.0,-0.9536079855210777,0.01,4.99,12.307692307692308,-0.3,0.1,348.0,1650
1137552628977701,track,335216,True,,,-0.2453125,-0.4125,1.0367691317490764,-0.0,-0.9536079855210777,0.01,4.99,12.307692307692308,-0.3,0.1,348.0,1650
1137552649028362,track,335217,True,,,-0.21875,-0.41041666666666665,1.0674398596609411,-0.0,-0.9487982376088606,0.01,4.99,12.307692307692308,-0.3,0.1,348.0,1650
1137552669010062,track,335218,True,,,-0.1953125,-0.4083333333333333,1.0932024272613077,-0.0,-0.9439848939369779,0.01,4.99,12.307692307692308,-0.3,0.1,348.0,1650
1137552688986232,track,335218,True,,,-0.1953125,-0.4083333333333333,1.0932024272613077,-0.0,-0.9439848939369779,0.05,4.99,12.307692307692308,-0.3,0.1,348.0,1650
1137552708998600,track,335219,True,,,-0.1703125,-0.4041666666666667,1.122773359273349,-0.0,-0.9343474610181193,0.05,4.99,12.307692307692308,-0.3,0.1,348.0,1650
1137552729052045,track,335219,True,,,-0.1703125,-0.4041666666666667,1.122773359273349,-0.0,-0.9343474610181193,0.05,4.99,12.307692307692308,-0.3,0.1,348.0,1650
1137552749077355,track,335220,True,,,-0.1515625,-0.40208333333333335,1.1413589418678138,-0.0,-0.9295233928631792,0.05,4.99,12.307692307692308,-0.3,0.1,348.0,1650
1137552769012333,track,335221,True,,,-0.1328125,-0.39791666666666664,1.1631453843486892,-0.0,-0.9198646066128514,0.05,5.0,12.8,-0.3,0.1,348.0,1650
1137552789026385,track,335221,True,,,-0.1328125,-0.39791666666666664,1.1631453843486892,-0.0,-0.9198646066128514,0.05,5.0,12.8,-0.3,0.1,348.0,1650
1137552809011777,track,335222,True,,,-0.1140625,-0.39375,1.183640466773211,-0.0,-0.9101916928303897,0.05,5.0,12.8,-0.3,0.1,348.0,1650
1137552829056965,track,335222,True,,,-0.1140625,-0.39375,1.183640466773211,-0.0,-0.9101916928303897,0.05,5.0,12.8,-0.3,0.1,348.0,1650
1137552849056392,track,335223,True,,,-0.1015625,-0.39166666666666666,1.1949974413135245,-0.0,-0.9053499656206554,0.05,5.0,12.8,-0.3,0.1,348.0,1650
1137552869047051,track,335224,True,,,-0.0921875,-0.3875,1.2088861546509257,-0.0,-0.8956560264171235,0.05,5.0,12.8,-0.3,0.1,348.0,1650
1137552889018782,track,335224,True,,,-0.0921875,-0.3875,1.2088861546509257,-0.0,-0.8956560264171235,0.05,5.0,12.8,-0.3,0.1,348.0,1650
1137552909022050,track,335225,True,,,-0.0828125,-0.3854166666666667,1.2177754996587784,-0.0,-0.8908038370527496,0.05,5.0,12.8,-0.3,0.1,348.0,1650
1137552929033256,track,335226,True,,,-0.0796875,-0.38333333333333336,1.2237715268988116,-0.0,-0.8859481830930164,0.03,5.0,12.307692307692308,-0.3,0.1,348.0,1651
1137552948996921,track,335226,True,,,-0.0796875,-0.38333333333333336,1.2237715268988116,-0.0,-0.8859481830930164,0.03,5.0,12.307692307692308,-0.3,0.1,348.0,1651
1137552969023306,track,335227,True,,,-0.0765625,-0.38333333333333336,1.2250476124814211,-0.0,-0.8859481830930164,0.03,5.0,12.307692307692308,-0.3,0.1,348.0,1651
1137552988975706,track,335227,True,,,-0.0765625,-0.38333333333333336,1.2250476124814211,-0.0,-0.8859481830930164,0.03,5.01,12.307692307692308,-0.3,0.1,348.0,1651
1137553009034122,track,335228,True,,,-0.0796875,-0.3854166666666667,1.2190930701715232,-0.0,-0.8908038370527496,0.03,5.01,12.307692307692308,-0.3,0.1,348.0,1651
1137553029007518,track,335229,True,,,-0.0828125,-0.3875,1.213104815945434,-0.0,-0.8956560264171235,0.03,5.01,12.307692307692308,-0.3,0.1,348.0,1651
1137553048999066,track,335229,True,,,-0.0828125,-0.3875,1.213104815945434,-0.0,-0.8956560264171235,0.03,5.01,12.307692307692308,-0.3,0.1,348.0,1651
1137553069046805,track,335230,True,,,-0.0890625,-0.39166666666666666,1.2010304005158945,-0.0,-0.9053499656206555,0.03,5.01,12.307692307692308,-0.3,0.1,348.0,1651
1137553089014581,track,335230,True,,,-0.0890625,-0.39166666666666666,1.2010304005158945,-0.0,-0.9053499656206555,0.03,5.01,12.307692307692308,-0.3,0.1,348.0,1651
1137553109106409,track,335231,True,,,-0.0984375,-0.3958333333333333,1.1873154463661555,-0.0,-0.9150299101859533,0.1,5.04,12.307692307692308,-0.3,0.1,348.0,1650
1137553129046137,track,335232,True,,,-0.1078125,-0.4,1.1732868426541396,-0.0,-0.9246957711326909,0.1,5.04,12.307692307692308,-0.3,0.1,348.0,1650
1137553148989080,track,335232,True,,,-0.1078125,-0.4,1.1732868426541396,-0.0,-0.9246957711326909,0.1,5.04,12.307692307692308,-0.3,0.1,348.0,1650
1137553168998041,track,335233,True,,,-0.121875,-0.4083333333333333,1.1471277017796477,-0.0,-0.9439848939369779,0.1,5.04,12.307692307692308,0.0,0.5,344.0,1650
1137553188989225,track,335233,True,,,-0.121875,-0.4083333333333333,1.1471277017796477,-0.0,-0.9439848939369779,0.13,5.06,12.307692307692308,0.0,0.5,344.0,1649
1137553208989159,track,335234,True,,,-0.1359375,-0.4125,1.1294766850756202,-0.0,-0.9536079855210777,0.13,5.06,12.307692307692308,0.0,0.5,344.0,1649
1137553228975183,track,335235,True,,,-0.153125,-0.41875,1.1045341484420983,-0.0,-0.9680155521197001,0.13,5.06,12.307692307692308,0.0,0.5,344.0,1649
1137553248971837,track,335235,True,,,-0.153125,-0.41875,1.1045341484420983,-0.0,-0.9680155521197001,0.13,5.06,12.307692307692308,0.0,0.5,344.0,1649
1137553269048147,track,335236,True,,,-0.1703125,-0.42291666666666666,1.0831548025256028,-0.0,-0.9776024313355556,0.13,5.06,12.307692307692308,0.0,0.5,344.0,1649
1137553289286314,track,335236,True,,,-0.1703125,-0.42291666666666666,1.0831548025256028,-0.0,-0.9776024313355556,0.13,5.06,12.307692307692308,0.0,0.5,344.0,1649
1137553309065986,track,335237,True,,,-0.1890625,-0.4270833333333333,1.0596079441337347,-0.0,-0.9871746860188504,0.13,5.06,12.8,0.0,0.5,344.0,1649
1137553329044406,track,335238,True,,,-0.2078125,-0.42916666666666664,1.0393313125713994,-0.0,-0.991955304893178,0.21,5.09,12.8,0.0,0.5,344.0,1648
1137553349068550,track,335238,True,,,-0.2078125,-0.42916666666666664,1.0393313125713994,-0.0,-0.991955304893178,0.21,5.09,12.8,0.0,0.5,344.0,1648
1137553369069773,track,335239,True,,,-0.225,-0.42916666666666664,1.0236601205913733,-0.0,-0.991955304893178,0.21,5.09,12.8,0.0,0.5,344.0,1648
1137553389103692,track,335239,True,,,-0.225,-0.42916666666666664,1.0236601205913733,-0.0,-0.991955304893178,0.21,5.09,12.8,0.0,0.5,344.0,1648
1137553409082315,track,335240,True,,,-0.2421875,-0.42916666666666664,1.0070204024134954,-0.0,-0.9919553048931781,0.21,5.09,12.307692307692308,0.0,0.5,344.0,1648
1137553429006899,track,335241,True,,,-0.259375,-0.42916666666666664,0.9894597615348153,-0.0,-0.9919553048931781,0.21,5.09,12.307692307692308,0.0,0.5,344.0,1648
1137553448986078,track,335241,True,,,-0.259375,-0.42916666666666664,0.9894597615348153,-0.0,-0.9919553048931781,0.21,5.09,12.307692307692308,0.0,0.5,344.0,1648
