sample_index,time_monotonic_ns,elapsed_s,end_reason,phase,tracker_id,frame_id,camera_timestamp_ns,camera_received_at_s,camera_age_s,new_camera_frame,locked,score,bbox_x,bbox_y,bbox_width,bbox_height,dx_norm,dy_norm,bbox_fill,scale_px,log_scale,scale_innovation,scale_reason,filtered_log_scale_rate_hz,inverse_ttc_measured_hz,measured_ttc_s,effective_ttc_s,ttc_prediction_age_s,roll_deg,pitch_deg,heading_deg,attitude_age_s,altitude_m,vertical_distance_m,target_ttc_s,inverse_ttc_target_hz,pitch_initial_deg,pitch_raw_deg,pitch_command_deg,roll_target_deg,roll_command_deg,horizontal_alignment_scale,vertical_nominal_m_s,vertical_alignment_m_s,vertical_target_m_s,vertical_setpoint_m_s,vario_m_s,vario_age_s,vertical_error_m_s,throttle_p_rc,throttle_i_rc,raw_vertical_accel_m_s2,filtered_vertical_accel_m_s2,throttle_d_rc,tilt_hover_rc,throttle_command_rc,yaw_rate_target_dps,yaw_rate_dps,alignment_count,commit_count,commit_block_reason,exit_requested,exit_reason,result_valid,result_reason,ch1_roll,ch2_pitch,ch3_throttle,ch4_yaw,ch5_arm,ch6_angle,ch7_aux3,ch8_aux4
10,425632107449600,0.2000187060330063,target_lost_or_stale,tracking,0,706584,175062371219137,425632.099943641,0.0075059590162709355,True,True,0.0,315,361,14,17,0.00625,-0.5395833333333333,0.035416666666666666,15.427248620541512,2.739186186684673,-0.0046936151522087854,,-0.030945313428076632,0.0,30.0,29.99249404098373,0.0075059590162709355,0.0,0.2,0.0,0.037368718010839075,9.92,-9.72,9.72,0.10288065843621398,-10.0,-7.6222524011778425,-5.4000669150264,0.0,0.0,1.0,-0.3240810846446431,-0.5,-0.8240810846446431,-0.2000187060330063,0.0,0.07736305700382218,-0.2000187060330063,-4.000374120660126,-0.06601235098130115,0.0,0.0,-0.0,1663.0663864716414,1659,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1545,1659,1500,2000,2000,1000,1000
11,425632127454599,0.22002370504196733,target_lost_or_stale,tracking,0,706584,175062371219137,425632.099943641,0.027510958025231957,False,True,0.0,315,361,14,17,0.00625,-0.5395833333333333,0.035416666666666666,,2.739186186684673,,duplicate frame,-0.030945313428076632,0.0,30.0,29.972489041974768,0.027510958025231957,0.0,0.2,0.0,0.0573737170198001,9.92,-9.72,9.72,0.10288065843621398,-10.0,-7.622149941218504,-5.500091910071205,0.0,0.0,1.0,-0.3242973910637749,-0.5,-0.824297391063775,-0.22002370504196733,0.0,0.0973680560127832,-0.22002370504196733,-4.400474100839347,-0.07921707298523861,0.0,0.0,-0.0,1663.4796911738247,1659,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1546,1659,1500,2000,2000,1000,1000
12,425632147439898,0.24000900401733816,target_lost_or_stale,tracking,0,706585,175062403159874,425632.133346931,0.014092966972384602,True,True,0.0,315,359,14,17,0.00625,-0.53125,0.035416666666666666,15.427248620541512,2.737446500305902,-0.002017174569483693,,-0.03577639340320397,0.0,30.0,29.985907033027615,0.014092966972384602,0.0,0.6,0.0,0.017147339007351547,9.92,-9.72,9.72,0.10288065843621398,-10.0,-7.669679651052698,-5.6000184049480595,0.0,0.0,1.0,-0.3241522755771244,-0.5,-0.8241522755771244,-0.24000900401733816,0.0,0.11735335498815402,-0.24000900401733816,-4.800180080346763,-0.09360702809144106,0.0,0.0,-0.0,1662.8937871084381,1658,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1547,1658,1500,2000,2000,1000,1000
13,425632167430479,0.2599995850468986,target_lost_or_stale,tracking,0,706586,175062436218223,425632.166840564,0.0005899150273762643,True,True,0.0,315,356,14,17,0.00625,-0.51875,0.035416666666666666,15.427248620541512,2.7362087101879737,-0.00011288208036352998,,-0.036046013794516524,0.0,30.0,29.999410084972624,0.0005899150273762643,0.0,0.6,0.0,0.037137920036911964,9.93,-9.73,9.73,0.10277492291880781,-10.0,-7.740434495411323,-5.6999713100958616,0.0,0.0,1.0,-0.3243397110956517,-0.5,-0.8243397110956516,-0.2599995850468986,0.0,0.016904279007576406,-0.2599995850468986,-5.1999917009379715,-0.1091996564090374,0.0,0.0,-0.0,1663.3091913573471,1658,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1547,1658,1500,2000,2000,1000,1000
14,425632187427505,0.2799966110032983,target_lost_or_stale,tracking,0,706586,175062436218223,425632.166840564,0.020586940983776003,False,True,0.0,315,356,14,17,0.00625,-0.51875,0.035416666666666666,,2.7362087101879737,,duplicate frame,-0.036046013794516524,0.0,30.0,29.979413059016224,0.020586940983776003,0.0,0.6,0.0,0.0571349459933117,9.93,-9.73,9.73,0.10277492291880781,-10.0,-7.740327491337532,-5.79995643987786,0.0,0.0,1.0,-0.3245560538775702,-0.5,-0.8245560538775702,-0.2799966110032983,0.0,0.036901304963976145,-0.2799966110032983,-5.599932220065966,-0.12599695490284815,0.0,0.0,-0.0,1663.7259291749688,1658,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1548,1658,1500,2000,2000,1000,1000
15,425632207437133,0.30000623903470114,target_lost_or_stale,tracking,0,706587,175062469959754,425632.200257177,0.007179956010077149,True,True,0.0,315,354,14,17,0.00625,-0.5104166666666666,0.035416666666666666,15.427248620541512,2.735400081314015,0.0011311623411116578,,-0.03333798987614044,0.0,30.0,29.992820043989923,0.007179956010077149,0.0,1.1,0.0,0.01683290599612519,9.93,-9.73,9.73,0.10277492291880781,-10.0,-7.787852048697839,-5.900004580034874,0.0,0.0,1.0,-0.32441097521770834,-0.5,-0.8244109752177083,-0.30000623903470114,0.0,0.05691093299537897,-0.30000623903470114,-6.000124780694023,-0.14400599465340164,0.0,0.0,-0.0,1663.1441307753473,1657,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1549,1657,1500,2000,2000,1000,1000
16,425632227442981,0.3200120870023966,target_lost_or_stale,tracking,0,706587,175062469959754,425632.200257177,0.027185803977772593,False,True,0.0,315,354,14,17,0.00625,-0.5104166666666666,0.035416666666666666,,2.735400081314015,,duplicate frame,-0.03333798987614044,0.0,30.0,29.972814196022227,0.027185803977772593,0.0,1.1,0.0,0.036838753963820636,9.93,-9.73,9.73,0.10277492291880781,-10.0,-7.787743095805013,-6.000033819873352,0.0,0.0,1.0,-0.3246275086605413,-0.5,-0.8246275086605412,-0.3200120870023966,0.0,0.07691678096307442,-0.3200120870023966,-6.400241740047932,-0.16321233413458625,0.0,0.0,-0.0,1663.5634540741826,1657,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1550,1657,1500,2000,2000,1000,1000
17,425632247431758,0.3400008640019223,target_lost_or_stale,tracking,0,706588,175062501327721,425632.233704106,0.013727651967201382,True,True,0.0,315,351,14,17,0.00625,-0.4979166666666667,0.035416666666666666,15.427248620541512,2.7349326360491455,0.0018503089024490826,,-0.02891233058313806,0.0,30.0,29.9862723480328,0.013727651967201382,0.0,1.1,0.0,0.05682753096334636,9.93,-9.73,9.73,0.10277492291880781,-10.0,-7.858994696814889,-6.09997770487098,0.0,0.0,1.0,-0.32448181244636504,-0.5,-0.8244818124463651,-0.3400008640019223,0.0,0.09690555796260014,-0.3400008640019223,-6.800017280038446,-0.18360093848512773,0.0,0.0,-0.0,1663.9836182185236,1657,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1551,1657,1500,2000,2000,1000,1000
18,425632267455218,0.3600243240362033,target_lost_or_stale,tracking,0,706589,175062534120358,425632.267189615,0.0002656030119396746,True,True,0.0,315,349,14,17,0.00625,-0.4895833333333333,0.035416666666666666,15.427248620541512,2.73472428765578,0.002170844892242396,,-0.023725979931170163,0.0,30.0,29.99973439698806,0.0002656030119396746,0.0,1.5,0.0,0.016621814982499927,9.93,-9.73,9.73,0.10277492291880781,-10.0,-7.906523273849146,-6.200095005042385,0.0,0.0,1.0,-0.3243362048224294,-0.5,-0.8243362048224294,-0.3600243240362033,0.0,0.11692901799688116,-0.3600243240362033,-7.2004864807240665,-0.2052277364762516,0.0,0.0,-0.0,1663.4057142172003,1656,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1552,1656,1500,2000,2000,1000,1000
19,425632287433880,0.3800029859994538,target_lost_or_stale,tracking,0,706589,175062534120358,425632.267189615,0.020244264975190163,False,True,0.0,315,349,14,17,0.00625,-0.4895833333333333,0.035416666666666666,,2.73472428765578,,duplicate frame,-0.023725979931170163,0.0,30.0,29.97975573502481,0.020244264975190163,0.0,1.5,0.0,0.036600476945750415,9.95,-9.75,9.75,0.10256410256410256,-10.0,-7.905333829195799,-6.299988314858638,0.0,0.0,1.0,-0.32521946096476195,-0.5,-0.825219460964762,-0.3800029859994538,0.0,0.016362533962819725,-0.3800029859994538,-7.600059719989076,-0.22800359008317828,0.0,0.0,-0.0,1663.8280633100724,1656,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1552,1656,1500,2000,2000,1000,1000
