time_monotonic_ns,glide_phase,frame_id,control_valid,reason,abort_reason,dx_norm,dy_norm,vx_setpoint_m_s,vx_measured_m_s,vy_setpoint_m_s,vy_measured_m_s,altitude_m,distance_to_target_m,roll_deg,pitch_deg,yaw_deg,yaw_rate_setpoint_dps,yaw_rc,throttle_rc
1141060263555517,track,440811,True,,,-0.6296875,-0.42916666666666664,1.1542835173216446,,-1.7215549288996117,0.0,4.88,11.851851851851851,0.0,0.0,0.0,-7.316249999999999,1445,1639
1141060282901079,track,440811,True,,,-0.6296875,-0.42916666666666664,1.1542835173216446,,-1.7215549288996117,0.0,4.88,11.851851851851851,0.0,0.0,0.0,-7.316249999999999,1445,1639
1141060302975829,track,440812,True,,,-0.6296875,-0.42916666666666664,1.1542835173216446,-0.0,-1.7215549288996117,0.0,4.88,11.851851851851851,0.0,0.0,0.0,-7.316249999999999,1445,1639
1141060322926878,track,440813,True,,,-0.6296875,-0.42916666666666664,1.1542835173216446,-2.473154626831785,-1.7215549288996117,0.0,4.88,12.307692307692308,0.0,0.0,0.0,-7.316249999999999,1445,1639
1141060342808744,track,440813,True,,,-0.6296875,-0.42916666666666664,1.1542835173216446,-2.473154626831785,-1.7215549288996117,0.0,4.88,12.307692307692308,0.0,0.0,0.0,-7.316249999999999,1445,1639
1141060362799888,track,440814,True,,,-0.6296875,-0.42916666666666664,1.1542835173216446,-1.6075505074406604,-1.7215549288996117,0.0,4.88,12.307692307692308,0.0,0.0,0.0,-7.316249999999999,1445,1639
1141060382795118,track,440815,True,,,-0.6296875,-0.42916666666666664,1.1542835173216446,-1.0449078298364294,-1.7215549288996117,0.0,4.88,12.307692307692308,0.0,0.0,0.0,-7.316249999999999,1445,1639
1141060402796797,track,440815,True,,,-0.6296875,-0.42916666666666664,1.1542835173216446,-1.0449078298364294,-1.7215549288996117,0.02,4.9,12.307692307692308,0.0,0.0,0.0,-7.316249999999999,1445,1639
1141060422806649,track,440816,True,,,-0.628125,-0.42916666666666664,1.1608183905620337,-0.6791900893936791,-1.7215549288996117,0.02,4.9,12.307692307692308,0.0,0.0,0.0,-7.2975,1446,1639
1141060442797324,track,440816,True,,,-0.628125,-0.42916666666666664,1.1608183905620337,-0.6791900893936791,-1.7215549288996117,0.02,4.9,12.307692307692308,0.0,0.0,0.0,-7.2975,1446,1639
1141060462788225,track,440817,True,,,-0.628125,-0.42916666666666664,1.1608183905620337,-0.4414735581058914,-1.7215549288996117,0.02,4.9,12.307692307692308,0.0,0.0,0.0,-7.2975,1446,1639
1141060482803037,track,440818,True,,,-0.625,-0.4270833333333333,1.1803706197255392,-0.2869578127688294,-1.7137700483804597,0.08,4.91,12.307692307692308,0.0,0.0,0.0,-7.26,1446,1638
1141060502777808,track,440818,True,,,-0.625,-0.4270833333333333,1.1803706197255392,-0.2869578127688294,-1.7137700483804597,0.08,4.91,12.307692307692308,0.0,0.0,0.0,-7.26,1446,1638
1141060522794035,track,440819,True,,,-0.621875,-0.41875,1.2193629890820614,-0.18652257829973914,-1.68253888029925,0.08,4.91,12.307692307692308,0.0,0.0,0.0,-7.222499999999999,1446,1638
1141060542809313,track,440819,True,,,-0.621875,-0.41875,1.2193629890820614,-0.18652257829973914,-1.68253888029925,0.08,4.91,12.307692307692308,0.0,0.0,0.0,-7.222499999999999,1446,1638
1141060562799918,track,440820,True,,,-0.615625,-0.4083333333333333,1.2779279361382119,-0.12123967589483045,-1.6432955681757782,0.08,4.91,12.307692307692308,0.0,0.6,359.0,-7.147499999999999,1447,1638
1141060582888080,track,440821,True,,,-0.609375,-0.39166666666666666,1.355545498312031,-0.0788057893316398,-1.5800415807183055,0.11,4.91,12.307692307692308,0.0,0.6,359.0,-7.0725,1447,1640
1141060602783444,track,440821,True,,,-0.609375,-0.39166666666666666,1.355545498312031,-0.0788057893316398,-1.5800415807183055,0.11,4.91,12.307692307692308,0.0,0.6,359.0,-7.0725,1447,1640
