sample_index,time_monotonic_ns,elapsed_s,end_reason,observed_frame_id,observed_timestamp_ns,observed_valid,observed_reason,observed_depth_m,observed_slant_range_m,observed_dx_norm,observed_dy_norm,observed_vx_m_s,observed_vy_m_s,control_frame_id,control_estimate_age_s,control_depth_m,control_slant_range_m,control_dx_norm,control_dy_norm,control_dx_deadbanded,control_dy_deadbanded,control_vx_m_s,control_vy_m_s,phase,result_valid,result_reason,exit_requested,completion_latched,pitch_command_deg,yaw_rate_dps,throttle_correction_rc,ch1_roll,ch2_pitch,ch3_throttle,ch4_yaw,ch5_arm,ch6_angle,ch7_aux3,ch8_aux4,trk_pitch_deg,trk_pitch_rate_deg_s,trk_yaw_kp,trk_yaw_max_dps,trk_throttle_kp,trk_throttle_max_rc,trk_deadband,trk_timeout_s,trk_lock_frames,trk_commit_depth_m,trk_commit_s,bf_angle_limit_deg,hover_baseline_rc,bf_yaw_rate_dps
0,328449424169697,0.0,target_lost_or_stale,166682,7637249181420,True,,14.821052631578947,17.050643808772406,0.0046875,-0.7583333333333333,4.34622171119176,-2.471913598240313,166682,0.017598676960915327,14.821052631578947,17.050643808772406,0.0046875,-0.7583333333333333,0.0,-0.7283333333333333,4.34622171119176,-2.471913598240313,tracking,True,,False,False,0.0,0.0,-72.83333333333333,1500,1500,1587,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
1,328449444184816,0.020015118992887437,target_lost_or_stale,166683,7637282772828,True,,14.821052631578947,17.050643808772406,0.0046875,-0.7583333333333333,4.34622171119176,-2.471913598240313,166683,0.004126105981413275,14.821052631578947,17.050643808772406,0.0046875,-0.7583333333333333,0.0,-0.7283333333333333,4.34622171119176,-2.471913598240313,tracking,True,,False,False,-0.10007559496443719,0.0,-72.83333333333333,1500,1501,1587,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
2,328449464203133,0.04003343603108078,target_lost_or_stale,166683,7637282772828,True,,14.821052631578947,17.050643808772406,0.0046875,-0.7583333333333333,4.34622171119176,-2.471913598240313,166683,0.02414442301960662,14.821052631578947,17.050643808772406,0.0046875,-0.7583333333333333,0.0,-0.7283333333333333,4.34622171119176,-2.471913598240313,tracking,True,,False,False,-0.2001671801554039,0.0,-72.83333333333333,1500,1502,1587,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
3,328449484178797,0.06000910000875592,target_lost_or_stale,166684,7637319495718,True,,15.087719298245613,17.357426225786305,0.0046875,-0.7583333333333333,4.34622171119176,-2.471913598240313,166684,0.01071788597619161,15.087719298245613,17.357426225786305,0.0046875,-0.7583333333333333,0.0,-0.7283333333333333,4.34622171119176,-2.471913598240313,tracking,True,,False,False,-0.3000455000437796,0.0,-72.83333333333333,1500,1503,1587,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
4,328449504199186,0.08002948900684714,target_lost_or_stale,166684,7637319495718,True,,15.087719298245613,17.357426225786305,0.0046875,-0.7583333333333333,4.34622171119176,-2.471913598240313,166684,0.03073827497428283,15.087719298245613,17.357426225786305,0.0046875,-0.7583333333333333,0.0,-0.7283333333333333,4.34622171119176,-2.471913598240313,tracking,True,,False,False,-0.4001474450342357,0.0,-72.83333333333333,1500,1503,1587,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
5,328449524168979,0.09999928204342723,target_lost_or_stale,166685,7637352141552,True,,15.087719298245613,17.357426225786305,0.0046875,-0.7583333333333333,4.34622171119176,-2.471913598240313,166685,0.017204139032401145,15.087719298245613,17.357426225786305,0.0046875,-0.7583333333333333,0.0,-0.7283333333333333,4.34622171119176,-2.471913598240313,tracking,True,,False,False,-0.49999641021713614,0.0,-72.83333333333333,1500,1504,1587,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
6,328449544296326,0.12012662901543081,target_lost_or_stale,166686,7637385368411,True,,15.087719298245613,17.345783571327406,0.0046875,-0.75625,4.349138984909696,-2.4667772680034683,166686,0.003930215025320649,15.087719298245613,17.345783571327406,0.0046875,-0.75625,0.0,-0.72625,4.349138984909696,-2.4667772680034683,tracking,True,,False,False,-0.600633145077154,0.0,-72.625,1500,1505,1587,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
7,328449564190089,0.14002039202023298,target_lost_or_stale,166686,7637385368411,True,,15.087719298245613,17.345783571327406,0.0046875,-0.75625,4.349138984909696,-2.4667772680034683,166686,0.023823978030122817,15.087719298245613,17.345783571327406,0.0046875,-0.75625,0.0,-0.72625,4.349138984909696,-2.4667772680034683,tracking,True,,False,False,-0.7001019601011649,0.0,-72.625,1500,1506,1587,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
8,328449584187604,0.1600179070373997,target_lost_or_stale,166687,7637416552217,True,,15.087719298245613,17.345783571327406,0.0046875,-0.75625,4.349138984909696,-2.4667772680034683,166687,0.010292348044458777,15.087719298245613,17.345783571327406,0.0046875,-0.75625,0.0,-0.72625,4.349138984909696,-2.4667772680034683,tracking,True,,False,False,-0.8000895351869985,0.0,-72.625,1500,1507,1587,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
9,328449604192447,0.18002274999162182,target_lost_or_stale,166687,7637416552217,True,,15.087719298245613,17.345783571327406,0.0046875,-0.75625,4.349138984909696,-2.4667772680034683,166687,0.03029719099868089,15.087719298245613,17.345783571327406,0.0046875,-0.75625,0.0,-0.72625,4.349138984909696,-2.4667772680034683,tracking,True,,False,False,-0.9001137499581091,0.0,-72.625,1500,1508,1587,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
10,328449624165205,0.19999550801003352,target_lost_or_stale,166688,7637450344016,True,,14.821052631578947,17.039206931462086,0.0046875,-0.75625,4.349138984909697,-2.4667772680034683,166688,0.016904035990592092,14.821052631578947,17.039206931462086,0.0046875,-0.75625,0.0,-0.72625,4.349138984909697,-2.4667772680034683,tracking,True,,False,False,-0.9999775400501676,0.0,-72.625,1500,1508,1587,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
11,328449644191909,0.2200222120154649,target_lost_or_stale,166689,7637484729438,True,,14.821052631578947,17.02779386734875,0.0046875,-0.7541666666666667,4.352054091146035,-2.4616305953044755,166689,0.0034076549927704036,14.821052631578947,17.02779386734875,0.0046875,-0.7541666666666667,0.0,-0.7241666666666666,4.352054091146035,-2.4616305953044755,tracking,True,,False,False,-1.1001110600773245,0.0,-72.41666666666666,1500,1509,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
