sample_index,time_monotonic_ns,elapsed_s,end_reason,observed_frame_id,observed_timestamp_ns,observed_valid,observed_reason,observed_depth_m,observed_slant_range_m,observed_dx_norm,observed_dy_norm,observed_vx_m_s,observed_vy_m_s,control_frame_id,control_estimate_age_s,control_depth_m,control_slant_range_m,control_dx_norm,control_dy_norm,control_dx_deadbanded,control_dy_deadbanded,control_vx_m_s,control_vy_m_s,phase,result_valid,result_reason,exit_requested,completion_latched,pitch_command_deg,yaw_rate_dps,throttle_correction_rc,ch1_roll,ch2_pitch,ch3_throttle,ch4_yaw,ch5_arm,ch6_angle,ch7_aux3,ch8_aux4,trk_pitch_deg,trk_pitch_rate_deg_s,trk_yaw_kp,trk_yaw_max_dps,trk_throttle_kp,trk_throttle_max_rc,trk_deadband,trk_timeout_s,trk_lock_frames,trk_commit_depth_m,trk_commit_s,bf_angle_limit_deg,hover_baseline_rc,bf_yaw_rate_dps
10,326435895383180,0.19997591798892245,target_lost_or_stale,105752,5623720624491,True,,14.821052631578947,17.016656790046902,0.0078125,-0.7520833333333333,4.3549670010377195,-2.4564735740228385,105752,0.02424047701060772,14.821052631578947,17.016656790046902,0.0078125,-0.7520833333333333,0.0,-0.7220833333333333,4.3549670010377195,-2.4564735740228385,tracking,True,,False,False,-0.9998795899446122,0.0,-72.20833333333333,1500,1508,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
11,326435915395298,0.21998803596943617,target_lost_or_stale,105753,5623753386024,True,,14.821052631578947,17.016656790046902,0.0078125,-0.7520833333333333,4.3549670010377195,-2.4564735740228385,105753,0.010793644993100315,14.821052631578947,17.016656790046902,0.0078125,-0.7520833333333333,0.0,-0.7220833333333333,4.3549670010377195,-2.4564735740228385,tracking,True,,False,False,-1.0999401798471808,0.0,-72.20833333333333,1500,1509,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
12,326435935442432,0.24003516999073327,target_lost_or_stale,105753,5623753386024,True,,14.821052631578947,17.016656790046902,0.0078125,-0.7520833333333333,4.3549670010377195,-2.4564735740228385,105753,0.030840779014397413,14.821052631578947,17.016656790046902,0.0078125,-0.7520833333333333,0.0,-0.7220833333333333,4.3549670010377195,-2.4564735740228385,tracking,True,,False,False,-1.2001758499536663,0.0,-72.20833333333333,1500,1510,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
13,326435955392827,0.259985564975068,target_lost_or_stale,105754,5623786288912,True,,14.821052631578947,17.005291664606577,0.0078125,-0.75,4.357877685622746,-2.451306198162795,105754,0.017292640986852348,14.821052631578947,17.005291664606577,0.0078125,-0.75,0.0,-0.72,4.357877685622746,-2.451306198162795,tracking,True,,False,False,-1.2999278248753399,0.0,-72.0,1500,1511,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
14,326435975385381,0.2799781190115027,target_lost_or_stale,105755,5623819307743,True,,14.821052631578947,16.993950496061938,0.0078125,-0.7479166666666667,4.360786115840425,-2.4461284618542383,105755,0.003878370043821633,14.821052631578947,16.993950496061938,0.0078125,-0.7479166666666667,0.0,-0.7179166666666666,4.360786115840425,-2.4461284618542383,tracking,True,,False,False,-1.3998905950575136,0.0,-71.79166666666667,1500,1512,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
15,326435995385202,0.2999779399833642,target_lost_or_stale,105755,5623819307743,True,,14.821052631578947,16.993950496061938,0.0078125,-0.7479166666666667,4.360786115840425,-2.4461284618542383,105755,0.023878191015683115,14.821052631578947,16.993950496061938,0.0078125,-0.7479166666666667,0.0,-0.7179166666666666,4.360786115840425,-2.4461284618542383,tracking,True,,False,False,-1.499889699916821,0.0,-71.79166666666667,1500,1512,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
16,326436015413821,0.32000655896263197,target_lost_or_stale,105756,5623852382041,True,,14.821052631578947,16.993950496061938,0.0078125,-0.7479166666666667,4.360786115840425,-2.4461284618542383,105756,0.010423648986034095,14.821052631578947,16.993950496061938,0.0078125,-0.7479166666666667,0.0,-0.7179166666666666,4.360786115840425,-2.4461284618542383,tracking,True,,False,False,-1.6000327948131599,0.0,-71.79166666666667,1500,1513,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
17,326436035420597,0.340013334993273,target_lost_or_stale,105756,5623852382041,True,,14.821052631578947,16.993950496061938,0.0078125,-0.7479166666666667,4.360786115840425,-2.4461284618542383,105756,0.030430425016675144,14.821052631578947,16.993950496061938,0.0078125,-0.7479166666666667,0.0,-0.7179166666666666,4.360786115840425,-2.4461284618542383,tracking,True,,False,False,-1.700066674966365,0.0,-71.79166666666667,1500,1514,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
18,326436055399121,0.35999185900436714,target_lost_or_stale,105757,5623885428536,True,,14.821052631578947,16.971340221669813,0.0078125,-0.74375,4.3665960964391495,-2.435741885044963,105757,0.01698216499062255,14.821052631578947,16.971340221669813,0.0078125,-0.74375,0.0,-0.71375,4.3665960964391495,-2.435741885044963,tracking,True,,False,False,-1.7999592950218357,0.0,-71.375,1500,1515,1589,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
19,326436075415728,0.3800084659596905,target_lost_or_stale,105758,5623919242281,True,,14.821052631578947,16.96007121189252,0.0078125,-0.7416666666666667,4.369497588207827,-2.4305330334406037,105758,0.0035826839739456773,14.821052631578947,16.96007121189252,0.0078125,-0.7416666666666667,0.0,-0.7116666666666667,4.369497588207827,-2.4305330334406037,tracking,True,,False,False,-1.9000423297984526,0.0,-71.16666666666667,1500,1516,1589,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
