local_time,elapsed_s,sample_source,phase,state,armed,altitude_setpoint_m,altitude_m,vertical_speed_m_s,roll_deg,pitch_deg,yaw_deg,joystick_roll_pwm,joystick_pitch_pwm,joystick_throttle_pwm,joystick_yaw_pwm,output_roll_pwm,output_pitch_pwm,output_throttle_pwm,output_yaw_pwm,altitude_error_m,pitch_target_deg,pitch_error_deg
2026-08-06T16:58:11.189+03:00,0.774503,V2_EXTENSION,Arming in MANUAL mode,0,0,,0.0,,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.235+03:00,0.820757,V2_EXTENSION,Arming in MANUAL mode,0,0,,0.0,,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.256+03:00,0.841373,GLOBAL_POSITION_INT,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.256+03:00,0.841511,ATTITUDE,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.256+03:00,0.841633,RC_CHANNELS,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.287+03:00,0.872455,V2_EXTENSION,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.287+03:00,0.872761,V2_EXTENSION,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.339+03:00,0.924008,V2_EXTENSION,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.385+03:00,0.970195,V2_EXTENSION,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.385+03:00,0.970531,V2_EXTENSION,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.436+03:00,1.021838,V2_EXTENSION,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.488+03:00,1.073039,V2_EXTENSION,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.488+03:00,1.073288,V2_EXTENSION,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.539+03:00,1.124579,V2_EXTENSION,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.585+03:00,1.170610,V2_EXTENSION,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.586+03:00,1.170883,V2_EXTENSION,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.637+03:00,1.222248,V2_EXTENSION,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.683+03:00,1.268593,V2_EXTENSION,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.689+03:00,1.274028,V2_EXTENSION,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.740+03:00,1.325808,V2_EXTENSION,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.756+03:00,1.341320,GLOBAL_POSITION_INT,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.756+03:00,1.341479,ATTITUDE,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.756+03:00,1.341613,RC_CHANNELS,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.787+03:00,1.372379,V2_EXTENSION,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:11.787+03:00,1.372758,V2_EXTENSION,Arming in MANUAL mode,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
